"ID_ESTADO","LISTA_NOMINAL"
1,1099100
2,3184197
3,613229
4,694002
5,2414022
6,585286
7,4000129
8,3073662
9,7939096
10,1395545
11,4841834
12,2649537
13,2385964
14,6601642
15,13030759
16,3737454
17,1551827
18,956756
19,4385975
20,3114737
21,4978088
22,1903900
23,1221872
24,2183218
25,2361364
26,2275172
27,1814762
28,2848937
29,1043707
30,6082210
31,1768464
32,1267631
